"","C1","C2","Pr(>F)","R2","N","FDR"
"1","D","A","0.001","0.22238385974094","127",1
"2","D","B","0.001","0.145343132350427","118",1
"3","D","C","0.001","0.13889702603291","121",1
"4","D","Adult","0.001","0.0768080779387364","1138",1
"5","A","B","0.001","0.145821689507632","181",1
"6","A","C","0.001","0.303436925780093","184",1
"7","A","Adult","0.001","0.245526806760664","1201",1
"8","B","C","0.001","0.253027587572651","175",1
"9","B","Adult","0.001","0.223936941059398","1192",1
"10","C","Adult","0.001","0.117181370432735","1195",1
